"item1","item2","correlation"
"land","great",0.24821573373409
"great","land",0.24821573373409
"world","nation",0.248022699428754
"world","do",0.248022699428754
"nation","world",0.248022699428754
"do","world",0.248022699428754
"promise","fellow",0.247784252526307
"man","change",0.247784252526307
"fellow","promise",0.247784252526307
"change","man",0.247784252526307
"own","life",0.246839337579563
"own","be",0.246839337579563
"life","own",0.246839337579563
"be","own",0.246839337579563
"let","history",0.245979772691324
"government","new",0.245979772691324
"history","let",0.245979772691324
"new","government",0.245979772691324
"world","century",0.245783846085652
"century","world",0.245783846085652
"freedom","work",0.238641394921374
"work","freedom",0.238641394921374
"give","child",0.235381123173054
"child","give",0.235381123173054
"new","today",0.235164835164835
"today","new",0.235164835164835
"own","know",0.233353340478779
"know","own",0.233353340478779
"much","have",0.233198885996712
"have","much",0.233198885996712
"come","day",0.231657608695652
"day","come",0.231657608695652
"century","come",0.231657608695652
"come","century",0.231657608695652
"american","century",0.231657608695652
"century","american",0.231657608695652
"own","people",0.231624849368285
"people","own",0.231624849368285
"own","century",0.230447740155199
"freedom","century",0.230447740155199
"century","own",0.230447740155199
"century","freedom",0.230447740155199
"change","day",0.229983255957397
"citizen","come",0.229983255957397
"citizen","american",0.229983255957397
"day","change",0.229983255957397
"generation","promise",0.229983255957397
"come","citizen",0.229983255957397
"american","citizen",0.229983255957397
"promise","generation",0.229983255957397
"work","fellow",0.229755380884974
"work","life",0.229755380884974
"fellow","work",0.229755380884974
"life","work",0.229755380884974
"nation","today",0.228219252220375
"today","nation",0.228219252220375
"new","nation",0.228219252220375
"nation","new",0.228219252220375
"new","good",0.227866357593825
"good","new",0.227866357593825
"own","time",0.225261922075284
"land","time",0.225261922075284
"time","own",0.225261922075284
"time","land",0.225261922075284
"great","way",0.224438916985548
"way","great",0.224438916985548
"world","democracy",0.224291278208696
"democracy","world",0.224291278208696
"make","nation",0.223342643141816
"nation","make",0.223342643141816
"time","good",0.222522738270989
"good","time",0.222522738270989
"new","work",0.221659151994077
"let","work",0.221659151994077
"work","new",0.221659151994077
"work","let",0.221659151994077
"citizen","world",0.221616348607564
"world","citizen",0.221616348607564
"make","people",0.220808484378101
"people","make",0.220808484378101
"new","power",0.220277606770666
"power","new",0.220277606770666
"citizen","new",0.220277606770666
"change","let",0.220277606770666
"let","change",0.220277606770666
"new","citizen",0.220277606770666
"have","hope",0.217647463702215
"hope","have",0.217647463702215
"land","challenge",0.215019259707619
"freedom","challenge",0.215019259707619
"challenge","land",0.215019259707619
"challenge","freedom",0.215019259707619
"be","have",0.214939438744951
"have","be",0.214939438744951
"government","good",0.214705471229194
"good","government",0.214705471229194
"life","time",0.214315984905202
"be","time",0.214315984905202
"time","life",0.214315984905202
"time","be",0.214315984905202
"great","nation",0.214139635660243
"nation","great",0.214139635660243
"world","people",0.213945071637825
"people","world",0.213945071637825
"power","history",0.213022952699991
"promise","history",0.213022952699991
"citizen","history",0.213022952699991
"history","power",0.213022952699991
"land","change",0.213022952699991
"freedom","change",0.213022952699991
"government","change",0.213022952699991
"history","promise",0.213022952699991
"history","citizen",0.213022952699991
"land","citizen",0.213022952699991
"change","land",0.213022952699991
"citizen","land",0.213022952699991
"change","freedom",0.213022952699991
"change","government",0.213022952699991
"change","much",0.212869938034553
"promise","much",0.212869938034553
"much","change",0.212869938034553
"much","promise",0.212869938034553
"land","nation",0.212193046878394
"nation","land",0.212193046878394
"people","today",0.211582395010683
"today","people",0.211582395010683
"do","people",0.211099046156424
"people","do",0.211099046156424
"century","democracy",0.208561626650017
"democracy","century",0.208561626650017
"work","century",0.207061439230749
"century","work",0.207061439230749
"people","challenge",0.205639474653491
"challenge","people",0.205639474653491
"other","work",0.20437034149655
"work","other",0.20437034149655
"make","power",0.202523333759824
"power","make",0.202523333759824
"be","challenge",0.201639651847749
"man","other",0.201639651847749
"challenge","be",0.201639651847749
"other","man",0.201639651847749
"time","have",0.20040373472442
"have","time",0.20040373472442
"land","have",0.1995399968806
"have","land",0.1995399968806
"man","nation",0.199207301006911
"nation","man",0.199207301006911
"generation","today",0.199171870069652
"new","century",0.199171870069652
"century","new",0.199171870069652
"today","generation",0.199171870069652
"man","great",0.197877608912403
"great","man",0.197877608912403
"know","much",0.197435423922951
"much","know",0.197435423922951
"good","know",0.197435423922951
"know","good",0.197435423922951
"give","work",0.1972717743912
"work","give",0.1972717743912
"make","history",0.196220982050319
"history","make",0.196220982050319
"freedom","make",0.196220982050319
"make","freedom",0.196220982050319
"work","great",0.19586503255254
"great","work",0.19586503255254
"land","history",0.195798319327731
"land","own",0.195798319327731
"freedom","own",0.195798319327731
"government","own",0.195798319327731
"history","land",0.195798319327731
"own","land",0.195798319327731
"own","freedom",0.195798319327731
"own","government",0.195798319327731
"power","people",0.195630761592784
"people","power",0.195630761592784
"century","have",0.195300008366314
"have","century",0.195300008366314
"give","let",0.194554450681565
"let","give",0.194554450681565
"world","child",0.193729237260995
"child","world",0.193729237260995
"change","democracy",0.193012817328381
"democracy","change",0.193012817328381
"life","people",0.192419118028067
"people","life",0.192419118028067
"citizen","nation",0.192198591325386
"change","do",0.192198591325386
"do","change",0.192198591325386
"nation","citizen",0.192198591325386
"time","come",0.191355292129815
"come","time",0.191355292129815
"be","century",0.190922822154552
"century","be",0.190922822154552
"today","history",0.186863086989266
"history","today",0.186863086989266
"own","today",0.186863086989266
"freedom","today",0.186863086989266
"own","new",0.186863086989266
"today","own",0.186863086989266
"new","own",0.186863086989266
"today","freedom",0.186863086989266
"nation","way",0.185521579985938
"way","nation",0.185521579985938
"change","fellow",0.184935185558993
"fellow","change",0.184935185558993
"child","do",0.18412032276512
"do","child",0.18412032276512
"know","fellow",0.181335801436652
"fellow","know",0.181335801436652
"citizen","great",0.180406324206305
"great","citizen",0.180406324206305
"own","fellow",0.180146721525457
"government","be",0.180146721525457
"fellow","own",0.180146721525457
"government","man",0.180146721525457
"be","government",0.180146721525457
"man","government",0.180146721525457
"let","nation",0.179910067443799
"new","do",0.179910067443799
"do","new",0.179910067443799
"nation","let",0.179910067443799
"other","nation",0.179224412276612
"nation","other",0.179224412276612
"stand","work",0.178111361807206
"own","work",0.178111361807206
"government","work",0.178111361807206
"work","stand",0.178111361807206
"work","own",0.178111361807206
"work","government",0.178111361807206
"great","come",0.178017790964512
"come","great",0.178017790964512
"know","have",0.177961374730747
"have","know",0.177961374730747
"history","democracy",0.177672196959808
"stand","democracy",0.177672196959808
"democracy","history",0.177672196959808
"democracy","stand",0.177672196959808
"give","democracy",0.176063595595574
"democracy","give",0.176063595595574
"nation","come",0.175969380521112
"come","nation",0.175969380521112
"generation","nation",0.175969380521112
"nation","generation",0.175969380521112
"good","today",0.175420926084135
"today","good",0.175420926084135
"people","history",0.173551760333586
"history","people",0.173551760333586
"much","fellow",0.173418835695816
"good","fellow",0.173418835695816
"fellow","much",0.173418835695816
"life","much",0.173418835695816
"be","much",0.173418835695816
"fellow","good",0.173418835695816
"much","life",0.173418835695816
"much","be",0.173418835695816
"year","do",0.173394995851589
"do","year",0.173394995851589
"century","day",0.172554347826087
"day","century",0.172554347826087
"generation","century",0.172554347826087
"century","generation",0.172554347826087
"other","much",0.171679111437073
"much","other",0.171679111437073
"land","know",0.17069364720207
"know","land",0.17069364720207
"world","challenge",0.168691429785887
"challenge","world",0.168691429785887
"make","do",0.167984210226323
"do","make",0.167984210226323
"world","life",0.166855953117979
"life","world",0.166855953117979
"give","fellow",0.166213472787285
"be","make",0.166213472787285
"man","make",0.166213472787285
"make","be",0.166213472787285
"fellow","give",0.166213472787285
"make","man",0.166213472787285
"time","history",0.165146010355806
"history","time",0.165146010355806
"government","time",0.165146010355806
"time","government",0.165146010355806
"people","day",0.165047117774907
"day","people",0.165047117774907
"generation","history",0.16471346673388
"land","come",0.16471346673388
"land","century",0.16471346673388
"come","land",0.16471346673388
"century","land",0.16471346673388
"generation","land",0.16471346673388
"history","generation",0.16471346673388
"land","generation",0.16471346673388
"freedom","generation",0.16471346673388
"generation","freedom",0.16471346673388
"let","power",0.164567863197852
"power","let",0.164567863197852
"child","work",0.163987811676584
"work","child",0.163987811676584
"work","power",0.163912754704522
"power","work",0.163912754704522
"change","work",0.163912754704522
"work","change",0.163912754704522
"other","power",0.163723041724197
"power","other",0.163723041724197
"year","come",0.163061203268071
"come","year",0.163061203268071
"work","people",0.163033297015691
"people","work",0.163033297015691
"do","great",0.162389223709018
"great","do",0.162389223709018
"know","century",0.161245623091554
"century","know",0.161245623091554
"generation","know",0.161245623091554
"know","generation",0.161245623091554
"freedom","hope",0.16049013371222
"hope","freedom",0.16049013371222
"work","nation",0.160332069407733
"nation","work",0.160332069407733
"make","great",0.159850919721855
"great","make",0.159850919721855
"way","fellow",0.159827235194639
"fellow","way",0.159827235194639
"life","way",0.159827235194639
"way","life",0.159827235194639
"today","democracy",0.159630086801328
"let","democracy",0.159630086801328
"democracy","today",0.159630086801328
"new","way",0.159630086801328
"way","new",0.159630086801328
"democracy","let",0.159630086801328
"great","know",0.15908567744228
"know","great",0.15908567744228
"good","great",0.158857462111417
"great","good",0.158857462111417
"child","have",0.158064516129032
"have","child",0.158064516129032
"other","child",0.157503885271161
"child","other",0.157503885271161
"new","world",0.156028477796034
"world","new",0.156028477796034
"change","power",0.155970149253731
"power","change",0.155970149253731
"nation","history",0.152449373485448
"history","nation",0.152449373485448
"stand","nation",0.152449373485448
"government","do",0.152449373485448
"nation","stand",0.152449373485448
"do","government",0.152449373485448
"let","have",0.152418759341559
"have","let",0.152418759341559
"much","power",0.151748866717701
"power","much",0.151748866717701
"year","today",0.151044904341969
"today","year",0.151044904341969
"good","history",0.149846526795375
"government","much",0.149846526795375
"history","good",0.149846526795375
"own","good",0.149846526795375
"good","own",0.149846526795375
"much","government",0.149846526795375
"world","work",0.149773845820565
"work","world",0.149773845820565
"time","power",0.149768025057804
"power","time",0.149768025057804
"citizen","time",0.149768025057804
"time","citizen",0.149768025057804
"life","fellow",0.148251748251748
"man","fellow",0.148251748251748
"fellow","life",0.148251748251748
"fellow","man",0.148251748251748
"century","today",0.146018640940635
"today","century",0.146018640940635
"generation","new",0.146018640940635
"new","generation",0.146018640940635
"world","know",0.144707190354077
"life","do",0.144707190354077
"do","life",0.144707190354077
"know","world",0.144707190354077
"way","day",0.144218146087778
"way","come",0.144218146087778
"day","way",0.144218146087778
"come","way",0.144218146087778
"give","know",0.144149994031289
"know","give",0.144149994031289
"stand","power",0.144127053499622
"own","power",0.144127053499622
"freedom","power",0.144127053499622
"power","stand",0.144127053499622
"own","promise",0.144127053499622
"power","own",0.144127053499622
"promise","own",0.144127053499622
"power","freedom",0.144127053499622
"do","know",0.141253716925273
"know","do",0.141253716925273
"work","make",0.141184701279976
"make","work",0.141184701279976
"world","come",0.140964264666771
"world","american",0.140964264666771
"come","world",0.140964264666771
"american","world",0.140964264666771
"promise","people",0.140904471372294
"people","promise",0.140904471372294
"own","challenge",0.140192557329368
"own","other",0.140192557329368
"government","other",0.140192557329368
"challenge","own",0.140192557329368
"other","own",0.140192557329368
"other","government",0.140192557329368
"time","democracy",0.140008116647831
"democracy","time",0.140008116647831
"let","new",0.13956043956044
"new","let",0.13956043956044
"be","people",0.13944296844439
"man","people",0.13944296844439
"people","be",0.13944296844439
"people","man",0.13944296844439
"world","history",0.138689614998163
"history","world",0.138689614998163
"give","power",0.138684456813793
"power","give",0.138684456813793
"much","people",0.138569968303886
"good","people",0.138569968303886
"people","much",0.138569968303886
"people","good",0.138569968303886
"child","day",0.137703056746418
"generation","have",0.137703056746418
"child","century",0.137703056746418
"day","child",0.137703056746418
"century","child",0.137703056746418
"have","generation",0.137703056746418
"child","year",0.136658657473034
"year","child",0.136658657473034
"have","power",0.135999660142882
"power","have",0.135999660142882
"citizen","child",0.135999660142882
"child","citizen",0.135999660142882
"nation","power",0.135897993866434
"power","nation",0.135897993866434
"let","hope",0.133686302041202
"hope","let",0.133686302041202
"challenge","fellow",0.133380314451819
"fellow","challenge",0.133380314451819
"give","good",0.132630595013865
"good","give",0.132630595013865
"year","power",0.132450575937428
"power","year",0.132450575937428
"do","today",0.131600882667224
"today","do",0.131600882667224
"come","fellow",0.130957892452581
"life","day",0.130957892452581
"fellow","come",0.130957892452581
"life","come",0.130957892452581
"life","century",0.130957892452581
"be","american",0.130957892452581
"day","life",0.130957892452581
"come","life",0.130957892452581
"century","life",0.130957892452581
"american","be",0.130957892452581
"great","today",0.130078340653853
"today","great",0.130078340653853
"much","democracy",0.129162538800297
"good","democracy",0.129162538800297
"democracy","much",0.129162538800297
"democracy","good",0.129162538800297
"new","history",0.127746401287207
"government","today",0.127746401287207
"history","new",0.127746401287207
"own","let",0.127746401287207
"let","own",0.127746401287207
"today","government",0.127746401287207
"time","great",0.126890157233535
"great","time",0.126890157233535
"make","time",0.126773138209277
"time","make",0.126773138209277
"power","democracy",0.125574604044971
"promise","democracy",0.125574604044971
"democracy","power",0.125574604044971
"way","power",0.125574604044971
"power","way",0.125574604044971
"change","way",0.125574604044971
"way","change",0.125574604044971
"democracy","promise",0.125574604044971
"come","hope",0.124722062789872
"century","hope",0.124722062789872
"hope","come",0.124722062789872
"hope","century",0.124722062789872
"work","today",0.123769069641363
"today","work",0.123769069641363
"other","way",0.123756315547471
"way","other",0.123756315547471
"much","today",0.122975494574445
"today","much",0.122975494574445
"new","much",0.122975494574445
"let","much",0.122975494574445
"much","new",0.122975494574445
"much","let",0.122975494574445
"own","history",0.122689075630252
"government","stand",0.122689075630252
"history","own",0.122689075630252
"stand","government",0.122689075630252
"nation","day",0.122252411730456
"do","day",0.122252411730456
"do","come",0.122252411730456
"day","nation",0.122252411730456
"day","do",0.122252411730456
"come","do",0.122252411730456
"power","fellow",0.122086118591679
"fellow","power",0.122086118591679
"promise","be",0.122086118591679
"be","promise",0.122086118591679
"own","great",0.121560198045727
"freedom","great",0.121560198045727
"government","great",0.121560198045727
"great","own",0.121560198045727
"great","freedom",0.121560198045727
"great","government",0.121560198045727
"do","nation",0.121212121212121
"nation","do",0.121212121212121
"great","century",0.121078276942775
"century","great",0.121078276942775
"good","have",0.119538924754617
"child","much",0.119538924754617
"have","good",0.119538924754617
"much","child",0.119538924754617
"be","work",0.11932047405076
"work","be",0.11932047405076
"come","challenge",0.119090645747138
"american","challenge",0.119090645747138
"generation","challenge",0.119090645747138
"challenge","come",0.119090645747138
"challenge","american",0.119090645747138
"challenge","generation",0.119090645747138
"world","great",0.118392898670986
"great","world",0.118392898670986
"nation","challenge",0.118077259852827
"challenge","nation",0.118077259852827
"new","fellow",0.115914534055959
"let","fellow",0.115914534055959
"life","today",0.115914534055959
"today","life",0.115914534055959
"new","life",0.115914534055959
"fellow","new",0.115914534055959
"life","new",0.115914534055959
"fellow","let",0.115914534055959
"life","good",0.114252409399597
"good","life",0.114252409399597
"man","world",0.113682077948513
"world","man",0.113682077948513
"stand","fellow",0.113454105471352
"be","history",0.113454105471352
"freedom","life",0.113454105471352
"government","life",0.113454105471352
"history","be",0.113454105471352
"land","be",0.113454105471352
"fellow","stand",0.113454105471352
"man","stand",0.113454105471352
"be","land",0.113454105471352
"man","land",0.113454105471352
"stand","man",0.113454105471352
"land","man",0.113454105471352
"life","freedom",0.113454105471352
"life","government",0.113454105471352
"generation","american",0.113451086956522
"american","generation",0.113451086956522
"give","people",0.113187542412304
"people","give",0.113187542412304
"child","people",0.112880939593226
"people","child",0.112880939593226
"world","power",0.111755252716635
"power","world",0.111755252716635
"change","world",0.111755252716635
"world","change",0.111755252716635
"make","democracy",0.109753929721916
"democracy","make",0.109753929721916
"power","today",0.108858119625038
"citizen","today",0.108858119625038
"today","power",0.108858119625038
"today","citizen",0.108858119625038
"world","year",0.108445837975454
"year","world",0.108445837975454
"stand","know",0.108033953925361
"government","know",0.108033953925361
"know","stand",0.108033953925361
"know","government",0.108033953925361
"citizen","work",0.106871116067349
"work","citizen",0.106871116067349
"freedom","democracy",0.106109784295441
"government","way",0.106109784295441
"democracy","freedom",0.106109784295441
"way","government",0.106109784295441
"power","come",0.106091347175394
"promise","come",0.106091347175394
"come","power",0.106091347175394
"century","power",0.106091347175394
"power","century",0.106091347175394
"change","century",0.106091347175394
"century","change",0.106091347175394
"generation","change",0.106091347175394
"come","promise",0.106091347175394
"generation","citizen",0.106091347175394
"change","generation",0.106091347175394
"citizen","generation",0.106091347175394
"know","power",0.105880185108798
"power","know",0.105880185108798
"much","challenge",0.105296521681405
"challenge","much",0.105296521681405
"year","fellow",0.105053434260488
"fellow","year",0.105053434260488
"man","year",0.105053434260488
"year","man",0.105053434260488
"freedom","time",0.105030098636329
"time","freedom",0.105030098636329
"know","come",0.104906790927035
"know","american",0.104906790927035
"come","know",0.104906790927035
"american","know",0.104906790927035
"make","life",0.104416155981756
"give","life",0.104416155981756
"life","make",0.104416155981756
"life","give",0.104416155981756
"time","today",0.1033664736369
"today","time",0.1033664736369
"nation","hope",0.102810978292222
"hope","nation",0.102810978292222
"let","way",0.101764180335846
"way","let",0.101764180335846
"new","child",0.100620196596576
"child","new",0.100620196596576
"good","nation",0.100520397841076
"nation","good",0.100520397841076
"land","year",0.0997456021763038
"government","year",0.0997456021763038
"year","land",0.0997456021763038
"year","government",0.0997456021763038
"history","day",0.0989791933125607
"land","day",0.0989791933125607
"government","day",0.0989791933125607
"day","history",0.0989791933125607
"come","history",0.0989791933125607
"history","come",0.0989791933125607
"own","come",0.0989791933125607
"government","come",0.0989791933125607
"freedom","american",0.0989791933125607
"generation","stand",0.0989791933125607
"come","own",0.0989791933125607
"generation","own",0.0989791933125607
"day","land",0.0989791933125607
"stand","generation",0.0989791933125607
"own","generation",0.0989791933125607
"government","generation",0.0989791933125607
"american","freedom",0.0989791933125607
"day","government",0.0989791933125607
"come","government",0.0989791933125607
"generation","government",0.0989791933125607
"work","american",0.09821343190099
"american","work",0.09821343190099
"have","fellow",0.0980661189273839
"fellow","have",0.0980661189273839
"life","have",0.0980661189273839
"have","life",0.0980661189273839
"child","life",0.0980661189273839
"life","child",0.0980661189273839
"man","child",0.0980661189273839
"child","man",0.0980661189273839
"good","day",0.096523417813168
"much","come",0.096523417813168
"come","much",0.096523417813168
"good","century",0.096523417813168
"good","american",0.096523417813168
"day","good",0.096523417813168
"century","good",0.096523417813168
"american","good",0.096523417813168
"new","challenge",0.0945832098940976
"other","today",0.0945832098940976
"challenge","new",0.0945832098940976
"today","other",0.0945832098940976
"life","democracy",0.0945456884249978
"man","way",0.0945456884249978
"democracy","life",0.0945456884249978
"way","man",0.0945456884249978
"promise","challenge",0.0932086623677359
"challenge","promise",0.0932086623677359
"today","day",0.092865411811617
"new","day",0.092865411811617
"day","today",0.092865411811617
"let","american",0.092865411811617
"day","new",0.092865411811617
"american","let",0.092865411811617
"freedom","nation",0.0927057000925021
"stand","do",0.0927057000925021
"land","do",0.0927057000925021
"freedom","do",0.0927057000925021
"do","stand",0.0927057000925021
"do","land",0.0927057000925021
"nation","freedom",0.0927057000925021
"do","freedom",0.0927057000925021
"have","challenge",0.0919400670003908
"challenge","have",0.0919400670003908
"other","have",0.0919400670003908
"have","other",0.0919400670003908
"let","today",0.0917582417582417
"today","let",0.0917582417582417
"promise","power",0.091044776119403
"promise","change",0.091044776119403
"power","promise",0.091044776119403
"change","promise",0.091044776119403
"good","power",0.0906277954008493
"citizen","much",0.0906277954008493
"power","good",0.0906277954008493
"citizen","good",0.0906277954008493
"much","citizen",0.0906277954008493
"good","citizen",0.0906277954008493
"hope","history",0.0903261054058723
"history","hope",0.0903261054058723
"stand","hope",0.0903261054058723
"land","hope",0.0903261054058723
"hope","stand",0.0903261054058723
"hope","land",0.0903261054058723
"nation","fellow",0.0902070797012425
"do","fellow",0.0902070797012425
"fellow","nation",0.0902070797012425
"be","nation",0.0902070797012425
"fellow","do",0.0902070797012425
"be","do",0.0902070797012425
"man","do",0.0902070797012425
"nation","be",0.0902070797012425
"do","be",0.0902070797012425
"do","man",0.0902070797012425
"generation","world",0.0885544739573305
"world","generation",0.0885544739573305
"give","come",0.0882134941681809
"make","century",0.0882134941681809
"make","american",0.0882134941681809
"century","make",0.0882134941681809
"american","make",0.0882134941681809
"come","give",0.0882134941681809
"generation","give",0.0882134941681809
"give","generation",0.0882134941681809
"year","people",0.0878746359000099
"people","year",0.0878746359000099
"man","life",0.0874125874125874
"life","man",0.0874125874125874
"make","know",0.0860895797686867
"know","make",0.0860895797686867
"give","new",0.0849995172880626
"new","give",0.0849995172880626
"own","much",0.084987582361556
"land","good",0.084987582361556
"much","own",0.084987582361556
"good","land",0.084987582361556
"great","have",0.0848270180514332
"have","great",0.0848270180514332
"child","great",0.0848270180514332
"great","child",0.0848270180514332
"time","century",0.0832519777447898
"time","american",0.0832519777447898
"century","time",0.0832519777447898
"american","time",0.0832519777447898
"time","way",0.0811641255929457
"way","time",0.0811641255929457
"work","challenge",0.0804663713906278
"challenge","work",0.0804663713906278
"stand","world",0.0803997768105293
"world","stand",0.0803997768105293
"have","day",0.0801061051265219
"day","have",0.0801061051265219
"american","have",0.0801061051265219
"have","american",0.0801061051265219
"generation","child",0.0801061051265219
"child","generation",0.0801061051265219
"generation","democracy",0.0798746655255384
"way","century",0.0798746655255384
"way","american",0.0798746655255384
"century","way",0.0798746655255384
"american","way",0.0798746655255384
"democracy","generation",0.0798746655255384
"year","much",0.0796404767399394
"much","year",0.0796404767399394
"do","power",0.0795973964074831
"promise","nation",0.0795973964074831
"power","do",0.0795973964074831
"nation","promise",0.0795973964074831
"good","much",0.0793650793650794
"much","good",0.0793650793650794
"great","challenge",0.0789705400655761
"challenge","great",0.0789705400655761
"other","great",0.0789705400655761
"great","other",0.0789705400655761
"make","challenge",0.0788977128601799
"challenge","make",0.0788977128601799
"other","make",0.0788977128601799
"make","other",0.0788977128601799
"work","much",0.0777713771047819
"work","good",0.0777713771047819
"much","work",0.0777713771047819
"good","work",0.0777713771047819
"promise","child",0.0756324640590515
"child","promise",0.0756324640590515
"land","power",0.0752311542992532
"government","power",0.0752311542992532
"own","change",0.0752311542992532
"freedom","citizen",0.0752311542992532
"change","own",0.0752311542992532
"power","land",0.0752311542992532
"citizen","freedom",0.0752311542992532
"power","government",0.0752311542992532
"promise","make",0.0748455798677612
"citizen","make",0.0748455798677612
"citizen","give",0.0748455798677612
"make","promise",0.0748455798677612
"make","citizen",0.0748455798677612
"give","citizen",0.0748455798677612
"hope","democracy",0.0734160296013882
"democracy","hope",0.0734160296013882
"give","much",0.0725323566482074
"much","give",0.0725323566482074
"work","hope",0.071445957422405
"hope","work",0.071445957422405
"have","history",0.0714220653041261
"history","have",0.0714220653041261
"own","have",0.0714220653041261
"freedom","have",0.0714220653041261
"freedom","child",0.0714220653041261
"have","own",0.0714220653041261
"have","freedom",0.0714220653041261
"child","freedom",0.0714220653041261
"be","day",0.0709929627506096
"man","day",0.0709929627506096
"man","century",0.0709929627506096
"day","be",0.0709929627506096
"day","man",0.0709929627506096
"century","man",0.0709929627506096
"let","people",0.0707073820061212
"people","let",0.0707073820061212
"let","good",0.0705300630647554
