"item1","item2","correlation"
"people","year",0.302162128301288
"year","people",0.302162128301288
"life","let",0.301628548734551
"let","life",0.301628548734551
"peace","people",0.301475660650237
"people","peace",0.301475660650237
"let","much",0.300942990925229
"much","let",0.300942990925229
"peace","american",0.298068103800082
"american","peace",0.298068103800082
"free","nation",0.296767684129789
"nation","free",0.296767684129789
"life","freedom",0.294782113300545
"freedom","life",0.294782113300545
"right","american",0.293304246751101
"american","right",0.293304246751101
"right","government",0.292636827833979
"government","right",0.292636827833979
"right","take",0.292252912228231
"right","place",0.292252912228231
"take","right",0.292252912228231
"place","right",0.292252912228231
"year","today",0.291618457605279
"today","year",0.291618457605279
"responsibility","government",0.29077347001575
"government","responsibility",0.29077347001575
"dream","let",0.29026667140808
"let","dream",0.29026667140808
"hope","own",0.289871740952766
"own","hope",0.289871740952766
"responsibility","dream",0.289871740952766
"dream","responsibility",0.289871740952766
"history","power",0.289596574956039
"power","history",0.289596574956039
"go","nation",0.288743371242639
"nation","go",0.288743371242639
"heart","life",0.286280898637151
"life","heart",0.286280898637151
"people","country",0.285191065487585
"country","people",0.285191065487585
"own","world",0.284787286995567
"world","own",0.284787286995567
"know","own",0.28474739872575
"bring","work",0.28474739872575
"work","bring",0.28474739872575
"know","responsibility",0.28474739872575
"own","know",0.28474739872575
"responsibility","know",0.28474739872575
"come","day",0.284662164151147
"come","peace",0.284662164151147
"day","come",0.284662164151147
"peace","come",0.284662164151147
"live","new",0.284631556571018
"new","live",0.284631556571018
"know","free",0.284088825876962
"free","know",0.284088825876962
"peace","time",0.283501288476635
"time","peace",0.283501288476635
"time","begin",0.283153352117992
"time","take",0.283153352117992
"begin","time",0.283153352117992
"take","time",0.283153352117992
"people","today",0.28243005201274
"today","people",0.28243005201274
"time","much",0.28039700806402
"much","time",0.28039700806402
"history","place",0.279771524242866
"place","history",0.279771524242866
"right","country",0.279370434201926
"country","right",0.279370434201926
"right","good",0.279052630108319
"good","right",0.279052630108319
"place","take",0.27843137254902
"take","place",0.27843137254902
"nation","citizen",0.276651776130154
"citizen","nation",0.276651776130154
"year","government",0.27625651091186
"government","year",0.27625651091186
"build","come",0.276129449329053
"come","build",0.276129449329053
"year","begin",0.275767160971951
"year","many",0.275767160971951
"begin","year",0.275767160971951
"many","year",0.275767160971951
"freedom","let",0.275658835535008
"freedom","do",0.275658835535008
"let","freedom",0.275658835535008
"do","freedom",0.275658835535008
"help","new",0.275186780119474
"new","help",0.275186780119474
"live","many",0.27488136315805
"many","live",0.27488136315805
"need","free",0.27429500778193
"free","need",0.27429500778193
"have","take",0.273704023599767
"today","take",0.273704023599767
"take","have",0.273704023599767
"take","today",0.273704023599767
"responsibility","other",0.272636352272731
"other","responsibility",0.272636352272731
"time","have",0.272419646449286
"have","time",0.272419646449286
"history","world",0.272163149807935
"world","history",0.272163149807935
"other","year",0.272120839414737
"year","other",0.272120839414737
"right","responsibility",0.271490405675241
"responsibility","right",0.271490405675241
"know","government",0.271448357015318
"government","know",0.271448357015318
"build","freedom",0.26872181726028
"freedom","build",0.26872181726028
"peace","freedom",0.268294704873632
"freedom","peace",0.268294704873632
"new","government",0.26683033218313
"government","new",0.26683033218313
"know","freedom",0.266678761215811
"freedom","know",0.266678761215811
"need","take",0.266111250934682
"take","need",0.266111250934682
"peace","new",0.264565289003168
"new","peace",0.264565289003168
"let","day",0.264537547520027
"day","let",0.264537547520027
"help","work",0.263542137167789
"work","help",0.263542137167789
"good","let",0.262742375527745
"let","good",0.262742375527745
"new","great",0.262661409967042
"great","new",0.262661409967042
"place","world",0.262462337238042
"world","place",0.262462337238042
"great","nation",0.26010884706051
"nation","great",0.26010884706051
"responsibility","let",0.25956204884953
"bring","do",0.25956204884953
"responsibility","do",0.25956204884953
"do","bring",0.25956204884953
"let","responsibility",0.25956204884953
"do","responsibility",0.25956204884953
"responsibility","take",0.25936388060742
"take","responsibility",0.25936388060742
"come","time",0.257927733385774
"time","come",0.257927733385774
"time","be",0.25740374377487
"be","time",0.25740374377487
"work","country",0.25717224993682
"country","work",0.25717224993682
"man","do",0.256383817364766
"do","man",0.256383817364766
"come","nation",0.255107038808838
"nation","come",0.255107038808838
"let","government",0.254204538518054
"government","let",0.254204538518054
"help","world",0.252810134655402
"world","help",0.252810134655402
"good","american",0.251909681379483
"american","good",0.251909681379483
"right","build",0.251901365310054
"build","right",0.251901365310054
"right","today",0.251611887254016
"today","right",0.251611887254016
"peace","be",0.250288199170841
"be","peace",0.250288199170841
"place","country",0.249493729521707
"country","place",0.249493729521707
"heart","freedom",0.248937340048123
"freedom","heart",0.248937340048123
"good","build",0.247566866766917
"build","good",0.247566866766917
"new","world",0.247049751888115
"world","new",0.247049751888115
"begin","citizen",0.246679303414437
"many","citizen",0.246679303414437
"citizen","begin",0.246679303414437
"many","day",0.246679303414437
"citizen","many",0.246679303414437
"day","many",0.246679303414437
"work","much",0.246376811594203
"know","much",0.246376811594203
"much","work",0.246376811594203
"much","know",0.246376811594203
"good","today",0.244626151551686
"today","good",0.244626151551686
"have","be",0.244602233285024
"be","have",0.244602233285024
"government","country",0.243334175293271
"country","government",0.243334175293271
"freedom","own",0.242272266569414
"own","freedom",0.242272266569414
"make","believe",0.242272266569414
"believe","make",0.242272266569414
"own","new",0.241420981984075
"responsibility","new",0.241420981984075
"new","own",0.241420981984075
"new","responsibility",0.241420981984075
"dream","take",0.241385795113054
"take","dream",0.241385795113054
"life","american",0.239944211458289
"american","life",0.239944211458289
"go","great",0.239892106041547
"great","go",0.239892106041547
"hope","be",0.238684345098933
"be","hope",0.238684345098933
"world","much",0.238527132765658
"much","world",0.238527132765658
"know","world",0.238527132765658
"world","know",0.238527132765658
"freedom","be",0.238427537859944
"be","freedom",0.238427537859944
"people","world",0.238387319871093
"world","people",0.238387319871093
"be","take",0.237772418267267
"take","be",0.237772418267267
"place","be",0.237772418267267
"be","place",0.237772418267267
"life","today",0.236008968843927
"today","life",0.236008968843927
"come","do",0.23524848652263
"do","come",0.23524848652263
"have","government",0.234942189291253
"government","have",0.234942189291253
"live","hope",0.234343465809878
"hope","live",0.234343465809878
"bring","government",0.234336425202567
"government","bring",0.234336425202567
"hope","let",0.234282323882832
"build","let",0.234282323882832
"build","do",0.234282323882832
"let","hope",0.234282323882832
"let","build",0.234282323882832
"do","build",0.234282323882832
"do","american",0.234000939360104
"american","do",0.234000939360104
"year","world",0.233239407065858
"world","year",0.233239407065858
"come","life",0.232851058640364
"life","come",0.232851058640364
"government","citizen",0.232476600617876
"citizen","government",0.232476600617876
"time","country",0.232064151104903
"country","time",0.232064151104903
"see","come",0.231853153177259
"come","see",0.231853153177259
"come","citizen",0.231648157871986
"citizen","come",0.231648157871986
"man","hope",0.231594941431739
"hope","man",0.231594941431739
"other","citizen",0.230981225829417
"citizen","other",0.230981225829417
"responsibility","people",0.230699920291389
"people","responsibility",0.230699920291389
"peace","history",0.230644029886618
"history","peace",0.230644029886618
"need","government",0.228999182035561
"government","need",0.228999182035561
"need","great",0.228974839462036
"great","need",0.228974839462036
"see","go",0.228664780190012
"go","see",0.228664780190012
"know","see",0.228664780190012
"see","know",0.228664780190012
"do","take",0.227853854862288
"take","do",0.227853854862288
"other","government",0.226861555609437
"government","other",0.226861555609437
"time","many",0.226275386190361
"many","time",0.226275386190361
"place","time",0.226275386190361
"time","place",0.226275386190361
"let","have",0.225572336631821
"have","let",0.225572336631821
"time","great",0.22496772787448
"great","time",0.22496772787448
"freedom","people",0.223777323302924
"people","freedom",0.223777323302924
"bring","citizen",0.223684264164134
"peace","own",0.223684264164134
"citizen","bring",0.223684264164134
"own","peace",0.223684264164134
"history","country",0.223012512952227
"country","history",0.223012512952227
"history","freedom",0.222817031683829
"freedom","history",0.222817031683829
"human","heart",0.22260642619249
"heart","human",0.22260642619249
"build","responsibility",0.222185953725216
"responsibility","build",0.222185953725216
"believe","much",0.221470199008916
"much","believe",0.221470199008916
"power","have",0.22130406921059
"have","power",0.22130406921059
"human","work",0.220847116289638
"work","human",0.220847116289638
"good","man",0.220819369689008
"man","good",0.220819369689008
"freedom","day",0.21999115722515
"day","freedom",0.21999115722515
"government","nation",0.218584672432127
"nation","government",0.218584672432127
"let","be",0.218536545850444
"be","let",0.218536545850444
"need","country",0.218367713727886
"country","need",0.218367713727886
"live","day",0.218221392762199
"day","live",0.218221392762199
"power","new",0.217908083805013
"hope","new",0.217908083805013
"build","new",0.217908083805013
"new","power",0.217908083805013
"help","life",0.217908083805013
"new","hope",0.217908083805013
"life","help",0.217908083805013
"new","build",0.217908083805013
"be","world",0.21738979311812
"world","be",0.21738979311812
"freedom","much",0.215882806698514
"much","freedom",0.215882806698514
"work","freedom",0.215882806698514
"freedom","work",0.215882806698514
"have","begin",0.215683815832074
"begin","have",0.215683815832074
"many","have",0.215683815832074
"place","have",0.215683815832074
"have","many",0.215683815832074
"have","place",0.215683815832074
"let","other",0.21515911066839
"do","other",0.21515911066839
"other","let",0.21515911066839
"other","do",0.21515911066839
"good","bring",0.215107580692246
"bring","good",0.215107580692246
"peace","let",0.214767702178836
"let","peace",0.214767702178836
"live","make",0.214749563702001
"make","live",0.214749563702001
"help","freedom",0.214386856407652
"help","make",0.214386856407652
"freedom","help",0.214386856407652
"make","help",0.214386856407652
"peace","day",0.213675213675214
"day","peace",0.213675213675214
"life","day",0.213644773128081
"day","life",0.213644773128081
"come","year",0.213521948071013
"year","come",0.213521948071013
"year","take",0.212812871122275
"take","year",0.212812871122275
"let","people",0.21268121161887
"people","let",0.21268121161887
"right","be",0.212636556627277
"be","right",0.212636556627277
"american","be",0.212572991227079
"be","american",0.212572991227079
"see","today",0.211821512176458
"today","see",0.211821512176458
"know","year",0.211603684757579
"year","know",0.211603684757579
"human","thank",0.21095121869894
"thank","human",0.21095121869894
"know","other",0.210818510677892
"other","know",0.210818510677892
"right","let",0.210222134629684
"let","right",0.210222134629684
"responsibility","be",0.210155993164218
"be","responsibility",0.210155993164218
"people","american",0.209756727465607
"american","people",0.209756727465607
"free","take",0.208155544132877
"take","free",0.208155544132877
"need","be",0.207954425884719
"be","need",0.207954425884719
"history","have",0.207574257373055
"have","history",0.207574257373055
"history","be",0.206929026794133
"be","history",0.206929026794133
"life","take",0.206497860095229
"take","life",0.206497860095229
"end","world",0.206437894022497
"take","nation",0.206437894022497
"nation","take",0.206437894022497
"world","end",0.206437894022497
"place","end",0.206274509803922
"place","many",0.206274509803922
"end","place",0.206274509803922
"many","place",0.206274509803922
"see","own",0.20618705424112
"own","see",0.20618705424112
"man","let",0.20543930073937
"let","man",0.20543930073937
"right","believe",0.205061902158959
"believe","right",0.205061902158959
"see","american",0.204925809414762
"american","see",0.204925809414762
"build","american",0.204382637272869
"american","build",0.204382637272869
"come","government",0.204296867715251
"government","come",0.204296867715251
"help","hope",0.204037490987743
"help","dream",0.204037490987743
"build","dream",0.204037490987743
"hope","help",0.204037490987743
"dream","help",0.204037490987743
"dream","build",0.204037490987743
"government","begin",0.203777776223654
"begin","government",0.203777776223654
"history","go",0.202610224618277
"go","history",0.202610224618277
"work","history",0.202610224618277
"history","work",0.202610224618277
"dream","people",0.202529618459874
"help","people",0.202529618459874
"people","dream",0.202529618459874
"people","help",0.202529618459874
"hope","citizen",0.201898811697138
"power","day",0.201898811697138
"day","power",0.201898811697138
"citizen","hope",0.201898811697138
"dream","peace",0.201898811697138
"help","peace",0.201898811697138
"build","peace",0.201898811697138
"peace","dream",0.201898811697138
"peace","help",0.201898811697138
"peace","build",0.201898811697138
"be","citizen",0.201606350706322
"be","day",0.201606350706322
"citizen","be",0.201606350706322
"day","be",0.201606350706322
"work","power",0.201532222540074
"hope","go",0.201532222540074
"help","go",0.201532222540074
"power","work",0.201532222540074
"go","hope",0.201532222540074
"know","dream",0.201532222540074
"go","help",0.201532222540074
"dream","know",0.201532222540074
"great","be",0.201181885237237
"be","great",0.201181885237237
"do","time",0.201119601164913
"time","do",0.201119601164913
"live","country",0.200722084431911
"country","live",0.200722084431911
"new","nation",0.200664900513204
"life","nation",0.200664900513204
"nation","new",0.200664900513204
"nation","life",0.200664900513204
"year","new",0.200557720203849
"new","year",0.200557720203849
"come","other",0.200535898194429
"other","come",0.200535898194429
"power","nation",0.199095279255178
"build","nation",0.199095279255178
"nation","power",0.199095279255178
"nation","build",0.199095279255178
"have","citizen",0.198888516487803
"today","citizen",0.198888516487803
"citizen","have",0.198888516487803
"peace","have",0.198888516487803
"citizen","today",0.198888516487803
"have","peace",0.198888516487803
"come","many",0.198762109007135
"many","come",0.198762109007135
"other","nation",0.198497111391805
"nation","other",0.198497111391805
"need","time",0.197738717766929
"time","need",0.197738717766929
"have","world",0.196841838155992
"world","have",0.196841838155992
"peace","year",0.196554927056681
"year","peace",0.196554927056681
"go","let",0.196267167994715
"work","let",0.196267167994715
"go","do",0.196267167994715
"let","go",0.196267167994715
"do","go",0.196267167994715
"let","work",0.196267167994715
"responsibility","history",0.196155297012
"history","responsibility",0.196155297012
"american","time",0.195953426475688
"time","american",0.195953426475688
"right","human",0.195401684183679
"human","right",0.195401684183679
"know","come",0.195123135668321
"come","know",0.195123135668321
"time","world",0.194886685507531
"world","time",0.194886685507531
"american","many",0.193849925656326
"many","american",0.193849925656326
"see","man",0.193545240249954
"man","see",0.193545240249954
"live","nation",0.193152401625271
"nation","live",0.193152401625271
"many","great",0.192920529391808
"place","great",0.192920529391808
"great","many",0.192920529391808
"great","place",0.192920529391808
"other","be",0.192243106397634
"be","other",0.192243106397634
"be","much",0.191976657057666
"much","be",0.191976657057666
"go","be",0.191976657057666
"know","be",0.191976657057666
"be","go",0.191976657057666
"be","know",0.191976657057666
"help","other",0.191190253542767
"other","help",0.191190253542767
"good","help",0.191190253542767
"help","good",0.191190253542767
"american","new",0.190888950449039
"new","american",0.190888950449039
"power","great",0.190839431448837
"help","great",0.190839431448837
"great","power",0.190839431448837
"great","help",0.190839431448837
"great","citizen",0.190536107044947
"great","day",0.190536107044947
"citizen","great",0.190536107044947
"day","great",0.190536107044947
"year","have",0.190377332700805
"have","year",0.190377332700805
"own","have",0.19004005558776
"responsibility","today",0.19004005558776
"have","own",0.19004005558776
"today","responsibility",0.19004005558776
"own","take",0.188767794761614
"believe","many",0.188767794761614
"take","own",0.188767794761614
"responsibility","place",0.188767794761614
"many","believe",0.188767794761614
"place","responsibility",0.188767794761614
"nation","much",0.188310894288677
"go","world",0.188310894288677
"much","nation",0.188310894288677
"world","go",0.188310894288677
"good","people",0.188150580720977
"people","good",0.188150580720977
"heart","take",0.188142349386941
"heart","end",0.188142349386941
"need","place",0.188142349386941
"take","heart",0.188142349386941
"end","heart",0.188142349386941
"place","need",0.188142349386941
"today","new",0.187971745096933
"new","today",0.187971745096933
"heart","do",0.187912758488428
"do","heart",0.187912758488428
"right","freedom",0.187799108304129
"freedom","right",0.187799108304129
"live","be",0.187726993194421
"be","live",0.187726993194421
"new","much",0.187417843410583
"much","new",0.187417843410583
"life","go",0.187417843410583
"go","life",0.187417843410583
"know","life",0.187417843410583
"life","know",0.187417843410583
"make","own",0.186826872230145
"believe","freedom",0.186826872230145
"responsibility","freedom",0.186826872230145
"freedom","believe",0.186826872230145
"own","make",0.186826872230145
"bring","make",0.186826872230145
"make","bring",0.186826872230145
"freedom","responsibility",0.186826872230145
"time","day",0.186541740001355
"day","time",0.186541740001355
"see","hope",0.186105720910566
"hope","see",0.186105720910566
"life","be",0.186067229720477
"be","life",0.186067229720477
"let","american",0.186054199001241
"american","let",0.186054199001241
"take","day",0.18517660446016
"day","take",0.18517660446016
"peace","many",0.18517660446016
"many","peace",0.18517660446016
"people","new",0.185060292412924
"new","people",0.185060292412924
"life","people",0.185060292412924
"people","life",0.185060292412924
"man","american",0.184859905989853
"american","man",0.184859905989853
"dream","be",0.183923846971497
"help","be",0.183923846971497
"be","dream",0.183923846971497
"be","help",0.183923846971497
"bring","life",0.182971691608983
"life","bring",0.182971691608983
"right","much",0.182574185835055
"right","work",0.182574185835055
"much","right",0.182574185835055
"work","right",0.182574185835055
"american","country",0.182330351689054
"country","american",0.182330351689054
"time","year",0.182314250493231
"year","time",0.182314250493231
"today","much",0.18201783862232
"work","have",0.18201783862232
"much","today",0.18201783862232
"go","today",0.18201783862232
"today","go",0.18201783862232
"have","work",0.18201783862232
"other","many",0.181515047360544
"many","other",0.181515047360544
"right","citizen",0.181164325463135
"citizen","right",0.181164325463135
"world","citizen",0.181147223019557
"nation","day",0.181147223019557
"citizen","world",0.181147223019557
"day","nation",0.181147223019557
"peace","other",0.18086265796077
"other","peace",0.18086265796077
"human","come",0.180419752512694
"come","human",0.180419752512694
"good","government",0.179854206248923
"government","good",0.179854206248923
"freedom","american",0.179561138481112
"american","freedom",0.179561138481112
"history","citizen",0.17926569877386
"history","day",0.17926569877386
"citizen","history",0.17926569877386
"day","history",0.17926569877386
"be","government",0.179165153141318
"government","be",0.179165153141318
"know","day",0.179161283295523
"day","know",0.179161283295523
"let","today",0.178620628554609
"today","let",0.178620628554609
"help","let",0.178297976357584
"dream","do",0.178297976357584
"do","dream",0.178297976357584
"let","help",0.178297976357584
"begin","much",0.177859458359977
"take","much",0.177859458359977
"many","much",0.177859458359977
"much","begin",0.177859458359977
"much","take",0.177859458359977
"much","many",0.177859458359977
"heart","people",0.177824586445914
"people","heart",0.177824586445914
"great","country",0.177287903096956
"country","great",0.177287903096956
"need","today",0.177177501652056
"today","need",0.177177501652056
"history","new",0.176844620862722
"new","history",0.176844620862722
"live","come",0.176299729046519
"come","live",0.176299729046519
"bring","people",0.175428064388244
"people","bring",0.175428064388244
"other","time",0.17532342710992
"time","other",0.17532342710992
"let","world",0.17494043070973
"world","let",0.17494043070973
"other","new",0.173566840233594
"good","new",0.173566840233594
"new","other",0.173566840233594
"new","good",0.173566840233594
"nation","world",0.173522458628842
"world","nation",0.173522458628842
"be","nation",0.173044203391142
"nation","be",0.173044203391142
"power","take",0.172203573460715
"hope","many",0.172203573460715
"build","many",0.172203573460715
"take","power",0.172203573460715
"build","place",0.172203573460715
"many","hope",0.172203573460715
"many","build",0.172203573460715
"place","build",0.172203573460715
"freedom","citizen",0.171687609576668
"make","day",0.171687609576668
"citizen","freedom",0.171687609576668
"day","make",0.171687609576668
"good","great",0.17168439081471
"great","good",0.17168439081471
"dream","year",0.171235919868793
"dream","man",0.171235919868793
"help","man",0.171235919868793
"build","man",0.171235919868793
"year","dream",0.171235919868793
"man","dream",0.171235919868793
"man","help",0.171235919868793
"man","build",0.171235919868793
"today","country",0.170521913674578
"country","today",0.170521913674578
"responsibility","american",0.170124118266439
"american","responsibility",0.170124118266439
"time","new",0.169938951103695
"new","time",0.169938951103695
"come","today",0.169606501881153
"today","come",0.169606501881153
"man","other",0.169517899963279
"other","man",0.169517899963279
"let","take",0.169462337738805
"take","let",0.169462337738805
"stand","end",0.168930386835226
"stand","many",0.168930386835226
"stand","place",0.168930386835226
"end","stand",0.168930386835226
"many","stand",0.168930386835226
"place","stand",0.168930386835226
"man","make",0.168215764444893
"make","man",0.168215764444893
"peace","country",0.167997669960348
"country","peace",0.167997669960348
"stand","citizen",0.167868167062891
"citizen","stand",0.167868167062891
"see","life",0.167597023800171
"life","see",0.167597023800171
"good","do",0.167575845809034
"do","good",0.167575845809034
"bring","country",0.165986026172971
"country","bring",0.165986026172971
"help","have",0.16567572394454
"build","today",0.16567572394454
"have","help",0.16567572394454
"today","build",0.16567572394454
"come","american",0.165429081289599
"american","come",0.165429081289599
"know","make",0.165086852181216
"make","know",0.165086852181216
"do","day",0.164997856837645
"day","do",0.164997856837645
"bring","great",0.164180447093221
"great","bring",0.164180447093221
"see","take",0.163605098392182
"see","end",0.163605098392182
"take","see",0.163605098392182
"end","see",0.163605098392182
"own","citizen",0.16351188900887
"citizen","own",0.16351188900887
"responsibility","peace",0.16351188900887
"peace","responsibility",0.16351188900887
"other","country",0.162650012158089
"country","other",0.162650012158089
"heart","see",0.161801429691739
"see","heart",0.161801429691739
"do","government",0.160843989441563
"government","do",0.160843989441563
"see","day",0.160720126817684
"day","see",0.160720126817684
"build","life",0.160629387490553
"life","build",0.160629387490553
"make","great",0.160175828408389
"great","make",0.160175828408389
"hope","freedom",0.160051895555024
"freedom","hope",0.160051895555024
"come","man",0.159256701599927
"man","come",0.159256701599927
"history","many",0.159214239791608
"many","history",0.159214239791608
"freedom","other",0.158623025794516
"make","other",0.158623025794516
"other","freedom",0.158623025794516
"other","make",0.158623025794516
"make","begin",0.158309797229482
"freedom","many",0.158309797229482
"make","many",0.158309797229482
"freedom","place",0.158309797229482
"many","freedom",0.158309797229482
"place","freedom",0.158309797229482
"begin","make",0.158309797229482
"many","make",0.158309797229482
"responsibility","much",0.158192999292083
"responsibility","go",0.158192999292083
"work","believe",0.158192999292083
"believe","work",0.158192999292083
"know","bring",0.158192999292083
"much","responsibility",0.158192999292083
"go","responsibility",0.158192999292083
"bring","know",0.158192999292083
"good","go",0.158113883008419
"go","good",0.158113883008419
"heart","build",0.157634829084337
"build","heart",0.157634829084337
"believe","other",0.157578809111762
"other","believe",0.157578809111762
"people","day",0.157018573255332
"day","people",0.157018573255332
"come","hope",0.156862269337162
"hope","come",0.156862269337162
"dream","come",0.156862269337162
"come","dream",0.156862269337162
"human","world",0.156754460039176
"human","nation",0.156754460039176
"world","human",0.156754460039176
"nation","human",0.156754460039176
"do","new",0.156594612409227
"new","do",0.156594612409227
"right","many",0.15645862977875
"many","right",0.15645862977875
"other","american",0.155344303517348
"american","other",0.155344303517348
"right","do",0.155277713078744
"do","right",0.155277713078744
"know","man",0.155176035488892
"man","know",0.155176035488892
"responsibility","power",0.154500166497667
"dream","own",0.154500166497667
"help","own",0.154500166497667
"build","believe",0.154500166497667
"help","bring",0.154500166497667
"own","dream",0.154500166497667
"power","responsibility",0.154500166497667
"own","help",0.154500166497667
"bring","help",0.154500166497667
"believe","build",0.154500166497667
"let","year",0.154494784113974
"year","let",0.154494784113974
"make","freedom",0.154329946782777
"freedom","make",0.154329946782777
"own","be",0.154276364924021
"be","own",0.154276364924021
"make","life",0.154021104181254
"life","make",0.154021104181254
"hope","government",0.153295886011076
"government","hope",0.153295886011076
"great","government",0.153248372544164
"government","great",0.153248372544164
"human","responsibility",0.153182973809178
"responsibility","human",0.153182973809178
"stand","much",0.152894157431288
"much","stand",0.152894157431288
"good","world",0.15284277577169
"world","good",0.15284277577169
"today","be",0.152751598745341
"be","today",0.152751598745341
"nation","country",0.151096409480121
"country","nation",0.151096409480121
"world","begin",0.150413450806952
"nation","begin",0.150413450806952
"begin","world",0.150413450806952
"begin","nation",0.150413450806952
"many","nation",0.150413450806952
"nation","many",0.150413450806952
"good","have",0.150064782044312
"other","today",0.150064782044312
"today","other",0.150064782044312
"have","good",0.150064782044312
"stand","today",0.149749020967594
"today","stand",0.149749020967594
"make","be",0.148712472489331
"be","make",0.148712472489331
"life","year",0.148435374840137
"year","life",0.148435374840137
"man","life",0.148435374840137
"life","man",0.148435374840137
"people","power",0.148364720499675
"power","people",0.148364720499675
"dream","american",0.14757537857467
"help","american",0.14757537857467
"american","dream",0.14757537857467
"american","help",0.14757537857467
"people","many",0.147375225236722
"many","people",0.147375225236722
"place","people",0.147375225236722
"people","place",0.147375225236722
"stand","people",0.147099835616365
"people","stand",0.147099835616365
"man","be",0.146784324448651
"be","man",0.146784324448651
"new","end",0.146756340822396
"end","new",0.146756340822396
"many","new",0.146756340822396
"place","new",0.146756340822396
"new","many",0.146756340822396
"new","place",0.146756340822396
"life","place",0.146756340822396
"place","life",0.146756340822396
"right","time",0.146598867902093
"time","right",0.146598867902093
"people","have",0.146152614328271
"have","people",0.146152614328271
"end","government",0.146092990338804
"place","government",0.146092990338804
"government","end",0.146092990338804
"government","place",0.146092990338804
"good","be",0.145700038532943
"be","good",0.145700038532943
"power","world",0.145380423854954
"dream","world",0.145380423854954
"world","power",0.145380423854954
"world","dream",0.145380423854954
"history","great",0.144790525867915
"great","history",0.144790525867915
"work","do",0.143929256529458
"do","work",0.143929256529458
"see","responsibility",0.143788340457623
"responsibility","see",0.143788340457623
