"word1","word2","n"
"recent","year",2
"refuse","defend",2
"remain","great",2
"require","turn",2
"responsibility","good",2
"responsibility","remain",2
"restore","promise",2
"result","new",2
"retreat","responsibility",2
"reverend","clergy",2
"ride","whirlwind",2
"rider","earth",2
"right","nation",2
"right","self",2
"role","indispensable",2
"role","play",2
"rule","law",2
"same","time",2
"set","free",2
"share","wealth",2
"shift","old",2
"small","group",2
"society","become",2
"solution","problem",2
"southern","border",2
"speak","word",2
"special","interest",2
"stand","step",2
"story","story",2
"sustain","national",2
"symbol","democracy",2
"take","oath",2
"task","be",2
"task","need",2
"tax","burden",2
"tax","system",2
"teach","child",2
"threaten","kill",2
"time","great",2
"time","live",2
"time","pass",2
"transfer","authority",2
"unconstitutional","federal",2
"unite","people",2
"untamed","wilderness",2
"value","faith",2
"vice","vice",2
"want","peace",2
"war","defeat",2
"way","life",2
"we","people",2
"welfare","work",2
"where","peace",2
"whirlwind","direct",2
"win","war",2
"work","preserve",2
"world","have",2
"world","know",2
"world","let",2
"world","new",2
"world","peace",2
"year","good",2
"year","history",2
"year","suffer",2
"year","year",2
"young","old",2
"2","3",1
"2","gather",1
"3","millennium",1
"4","letter",1
"abandon","habit",1
"abandonment","abuse",1
"abide","american",1
"ability","protect",1
"able","buy",1
"able","establish",1
"absent","bless",1
"abundance","share",1
"abundant","opportunity",1
"abundant","society",1
"abuse","act",1
"accept","allow",1
"accept","existence",1
"accept","hard",1
"accept","high",1
"accept","normal",1
"accept","obligation",1
"accept","politician",1
"accept","possibility",1
"accomplish","sense",1
"accomplishment","good",1
"accumulate","theme",1
"achieve","duty",1
"achieve","freedom",1
"achieve","great",1
"achieve","many",1
"achieve","nobility",1
"achieve","prosper",1
"achievement","abundant",1
"achievement","father",1
"achievement","history",1
"achievement","keep",1
"act","act",1
"act","ancient",1
"act","begin",1
"act","courage",1
"act","decency",1
"act","failure",1
"act","good",1
"act","great",1
"act","have",1
"act","lead",1
"act","member",1
"act","protect",1
"act","today",1
"action","begin",1
"action","choice",1
"action","complain",1
"action","require",1
"action","today",1
"adams","planter",1
"add","sacred",1
"add","tiny",1
"add","wealth",1
"address","hero",1
"address","nation",1
"adequate","express",1
"administration","american",1
"administration","establish",1
"administration","help",1
"administration","inspire",1
"administration","line",1
"administration","objective",1
"administration","party",1
"admiration","entire",1
"admire","include",1
"adopt","past",1
"advance","cause",1
"advance","conviction",1
"advance","freedom",1
"advance","ideal",1
"advance","take",1
"advantage","help",1
"advantage","single",1
"adventure","resound",1
"adventure","rich",1
"adventure","share",1
"adversary","invite",1
"adversary","remind",1
"adversary","today",1
"affair","make",1
"affect","wealthy",1
"affection","love",1
"affirm","dignity",1
"affirm","new",1
"affirm","old",1
"affliction","great",1
"afford","appraise",1
"afford","petty",1
"afraid","war",1
"african","asian",1
"age","economic",1
"age","economy",1
"age","progress",1
"age","soften",1
"age","soldier",1
"agendum","dramatic",1
"agent","own",1
"aggression","bad",1
"agony","be",1
"agree","child",1
"agree","way",1
"aid","mankind",1
"aid","transition",1
"aim","freeze",1
"aim","reach",1
"aim","restore",1
"airport","tunnel",1
"alien","place",1
"allegiance","determine",1
"allegiance","loyalty",1
"allegiance","many",1
"alliance","form",1
"allow","contemplate",1
"allow","happen",1
"allow","have",1
"allow","sad",1
"allow","take",1
"allow","tax",1
"allow","tell",1
"allow","unity",1
"ally","interest",1
"ally","know",1
"ally","oppression",1
"ally","share",1
"ally","world",1
"almighty","creator",1
"ambition","limit",1
"ambitious","other",1
"american","ancestor",1
"american","astronaut",1
"american","autoworkers",1
"american","border",1
"american","carnage",1
"american","conscience",1
"american","destiny",1
"american","else",1
"american","emancipation",1
"american","energy",1
"american","enjoy",1
"american","family",1
"american","flag",1
"american","freedom",1
"american","full",1
"american","hand",1
"american","hire",1
"american","history",1
"american","industry",1
"american","labor",1
"american","opportunity",1
"american","patriot",1
"american","promise",1
"american","seek",1
"american","ship",1
"american","sound",1
"american","spirit",1
"american","stake",1
"american","story",1
"american","today",1
"amount","money",1
"amount","oil",1
"ancestor","turn",1
"ancient","hope",1
"ancient","prayer",1
"anew","fellow",1
"angel","nature",1
"anger","begin",1
"angry","isolation",1
"angry","rhetoric",1
"anguish","voice",1
"annihilate","great",1
"anniversary","declaration",1
"answer","call",1
"answer","history",1
"answer","many",1
"answer","need",1
"answer","spirit",1
"answer","unequivocal",1
"anxious","voice",1
"apathy","claim",1
"appeal","liberty",1
"appear","small",1
"applause","popular",1
"applause","thank",1
"appraise","weakness",1
"approach","hope",1
"approach","limit",1
"approve","research",1
"area","country",1
"area","federal",1
"area","protect",1
"arm","arm",1
"arm","defend",1
"arm","force",1
"arm","let",1
"arm","necessary",1
"arm","reduce",1
"arm","reduction",1
"arm","strengthen",1
"army","other",1
"arrive","hour",1
"arrive","inauguration",1
"arsenal","awesome",1
"arsenal","render",1
"arsenal","weapon",1
"arsenal","world",1
"art","education",1
"artillery","fire",1
"ashamed","country",1
"ashamed","many",1
"ashamed","parent",1
"ashamed","record",1
"asian","urban",1
"ask","cabinet",1
"ask","citizen",1
"ask","join",1
"ask","much",1
"ask","patience",1
"ask","prayer",1
"ask","seek",1
"ask","share",1
"ask","thing",1
"ask","young",1
"asleep","approach",1
"aspect","public",1
"aspiration","american",1
"aspiration","human",1
"aspiration","last",1
"aspire","live",1
"assassin","bullet",1
"assemble","today",1
"assume","office",1
"assure","continue",1
"assure","destruction",1
"assure","other",1
"assure","support",1
"astronaut","fly",1
"astronaut","plant",1
"atom","launch",1
"attack","emerge",1
"attack","response",1
"attack","serve",1
"attain","own",1
"attempt","gather",1
"author","declaration",1
"author","fill",1
"author","much",1
"authority","call",1
"authority","national",1
"authority","rare",1
"auto","industry",1
"automobile","rate",1
"autoworkers","inspire",1
"available","assure",1
"avoid","influence",1
"awe","admiration",1
"awesome","offensive",1
"baby","drill",1
"back","government",1
"background","choice",1
"background","lift",1
"backpay","sign",1
"bad","faith",1
"bad","sustain",1
"baggage","bigotry",1
"balance","budget",1
"balance","power",1
"balance","various",1
"banner","freedom",1
"barbershop","go",1
"barrier","bear",1
"barrier","liberate",1
"base","liberty",1
"base","new",1
"basic","fairness",1
"basic","service",1
"basic","thing",1
"bastion","freedom",1
"battalion","heavy",1
"battle","grief",1
"battle","strong",1
"battle","win",1
"be","area",1
"be","aspire",1
"be","build",1
"be","create",1
"be","cry",1
"be","decide",1
"be","do",1
"be","duty",1
"be","entrepreneur",1
"be","excuse",1
"be","fear",1
"be","force",1
"be","freedom",1
"be","gender",1
"be","give",1
"be","go",1
"be","gold",1
"be","golden",1
"be","good",1
"be","guarantee",1
"be","help",1
"be","hero",1
"be","human",1
"be","justice",1
"be","keep",1
"be","land",1
"be","limit",1
"be","little",1
"be","logic",1
"be","make",1
"be","many",1
"be","misunderstand",1
"be","people",1
"be","place",1
"be","protect",1
"be","reach",1
"be","reduce",1
"be","room",1
"be","see",1
"be","servant",1
"be","share",1
"be","substitute",1
"be","suffer",1
"be","threaten",1
"be","time",1
"be","today",1
"be","union",1
"be","waver",1
"be","way",1
"be","word",1
"be","work",1
"be","world",1
"bear","bigotry",1
"bear","burden",1
"bear","call",1
"bear","cost",1
"bear","cross",1
"bear","image",1
"bear","pass",1
"bear","renew",1
"bear","responsibility",1
"bear","urban",1
"beautiful","eternal",1
"beautiful","field",1
"beautiful","horizon",1
"beautiful","student",1
"beauty","earth",1
"beauty","history",1
"beckon","chance",1
"become","complex",1
"become","friend",1
"become","part",1
"become","ruler",1
"become","servant",1
"become","time",1
"become","year",1
"bedrock","politic",1
"begin","3",1
"begin","act",1
"begin","bright",1
"begin","complete",1
"begin","course",1
"begin","create",1
"begin","day",1
"begin","era",1
"begin","increase",1
"begin","let",1
"begin","make",1
"begin","neighbor",1
"begin","overhaul",1
"begin","process",1
"begin","reduce",1
"begin","share",1
"begin","speak",1
"begin","thank",1
"begin","today",1
"beginning","begin",1
"beginning","make",1
"belief","day",1
"belief","human",1
"believe","american",1
"believe","believe",1
"believe","bless",1
"believe","capacity",1
"believe","do",1
"believe","evidence",1
"believe","help",1
"believe","hold",1
"believe","impossible",1
"believe","intend",1
"believe","life",1
"believe","politic",1
"believe","reelect",1
"believe","side",1
"believe","society",1
"believe","tax",1
"believe","today",1
"belong","deserve",1
"belong","gather",1
"belong","local",1
"belong","make",1
"beneficial","relation",1
"benefit","american",1
"beset","difficulty",1
"beset","find",1
"bestow","do",1
"bestow","title",1
"betrayal","many",1
"betrayal","take",1
"big","dream",1
"big","hearted",1
"big","understand",1
"bigotry","discrimination",1
"bigotry","same",1
"bill","come",1
"bill","right",1
"billion","poverty",1
"bind","cause",1
"bind","ideal",1
"bind","same",1
"birth","bind",1
"birth","good",1
"birth","new",1
"birth","soil",1
"birthday","young",1
"birthright","american",1
"birthright","citizen",1
"bitter","political",1
"black","bleed",1
"black","hispanic",1
"black","rich",1
"bleak","spirit",1
"bleed","same",1
"bless","confront",1
"bless","goodness",1
"bless","thank",1
"bless","welcome",1
"bloat","federal",1
"blood","birth",1
"blood","line",1
"blood","patriot",1
"blow","dark",1
"blow","inflict",1
"blue","beautiful",1
"body","find",1
"body","let",1
"bold","determination",1
"bold","initiative",1
"bold","new",1
"boldness","american",1
"bombastic","rhetoric",1
"bond","basic",1
"bond","reestablish",1
"border","own",1
"border","raise",1
"border","ravage",1
"border","repel",1
"borrow","live",1
"boundary","ethnic",1
"bounty","revive",1
"brandnew","department",1
"brave","untold",1
"break","fail",1
"break","reign",1
"break","seemingly",1
"breakthrough","create",1
"breath","body",1
"breath","life",1
"breed","call",1
"bridge","airport",1
"bridge","understand",1
"bright","beacon",1
"bright","loveliness",1
"bright","presence",1
"bring","border",1
"bring","budget",1
"bring","cost",1
"bring","credit",1
"bring","deep",1
"bring","devastate",1
"bring","dream",1
"bring","end",1
"bring","free",1
"bring","high",1
"bring","hope",1
"bring","job",1
"bring","law",1
"bring","leave",1
"bring","make",1
"bring","new",1
"bring","price",1
"bring","rate",1
"bring","time",1
"bring","value",1
"bring","wall",1
"bring","wealth",1
"broad","definition",1
"brother","bright",1
"brother","know",1
"brotherhood","man",1
"budget","aim",1
"budget","deficit",1
"build","american",1
"build","arsenal",1
"build","automobile",1
"build","city",1
"build","community",1
"build","defense",1
"build","family",1
"build","generation",1
"build","go",1
"build","government",1
"build","ownership",1
"build","peace",1
"build","place",1
"build","single",1
"build","strong",1
"builder","innovator",1
"buildup","history",1
"bullet","rip",1
"bulwark","republic",1
"burden","arm",1
"burden","be",1
"burden","chance",1
"burn","fight",1
"burn","week",1
"business","nation",1
"business","retirement",1
"businessman","give",1
"buy","american",1
"buy","car",1
"by","borrow",1
"cabbie","truck",1
"cabinet","marshal",1
"cabinet","staff",1
"call","conscience",1
"call","constitution",1
"call","enact",1
"call","encouragement",1
"call","freedom",1
"call","life",1
"call","make",1
"call","next",1
"call","pass",1
"call","responsibility",1
"call","share",1
"call","such",1
"call","time",1
"call","world",1
"campaign","look",1
"candor","approach",1
"capable","govern",1
"capacity","govern",1
"capacity","have",1
"capacity","perform",1
"capital","freshman",1
"capital","hall",1
"captive","set",1
"car","choice",1
"care","do",1
"care","time",1
"care","young",1
"carnage","stop",1
"carry","flag",1
"carry","last",1
"carry","orderly",1
"carry","own",1
"carry","time",1
"carry","tradition",1
"cartel","foreign",1
"case","hate",1
"cash","leave",1
"cast","worker",1
"catalogue","catastrophic",1
"catastrophic","event",1
"catch","conscience",1
"catch","dimness",1
"catch","people",1
"catch","release",1
"catch","war",1
"cathedral","spirit",1
"cause","agree",1
"cause","found",1
"cause","massive",1
"cause","peace",1
"cause","quiet",1
"cause","struggle",1
"cause","try",1
"cautious","danger",1
"celebrate","be",1
"celebrate","durable",1
"celebrate","great",1
"celebrate","historic",1
"celebrate","simple",1
"celebrate","struggle",1
"celebrate","unity",1
"celebration","witness",1
"cement","unite",1
"censorship","bring",1
"center","movement",1
"central","question",1
"century","address",1
"century","defend",1
"century","faith",1
"century","few",1
"century","first",1
"century","government",1
"century","include",1
"century","nation",1
"century","numb",1
"century","proclaim",1
"century","question",1
"century","spare",1
"century","take",1
"century","time",1
"century","unparalleled",1
"ceremony","accept",1
"ceremony","celebrate",1
"ceremony","hold",1
"ceremony","special",1
"chain","woman",1
"chalice","opportunity",1
"challenge","child",1
"challenge","come",1
"challenge","confro",1
"challenge","great",1
"challenge","home",1
"challenge","lest",1
"challenge","life",1
"challenge","match",1
"challenge","much",1
"challenge","year",1
"chance","achieve",1
"chance","build",1
"chance","have",1
"chance","help",1
"chance","insignificant",1
"chance","seize",1
"chance","society",1
"chance","today",1
"change","accumulate",1
"change","allow",1
"change","change",1
"change","much",1
"change","name",1
"change","stand",1
"change","sweep",1
"change","turn",1
"character","bring",1
"character","build",1
"character","civic",1
"character","generous",1
"character","have",1
"character","integrity",1
"character","lose",1
"character","match",1
"charity","culture",1
"charity","synagogue",1
"chart","goal",1
"chase","spiral",1
"check","reverse",1
"cherish","birthright",1
"child","ashamed",1
"child","bear",1
"child","community",1
"child","dream",1
"child","future",1
"child","keep",1
"child","knowledge",1
"child","pain",1
"child","risk",1
"child","struggle",1
"child","trap",1
"choice","birth",1
"choice","move",1
"choice","oppression",1
"choice","ruler",1
"choice","serve",1
"choice","shape",1
"choice","trust",1
"choose","defend",1
"choose","example",1
"choose","nation",1
"choose","own",1
"choose","test",1
"choose","will",1
"chronic","disease",1
"circumstance","birth",1
"citizen","agent",1
"citizen","ask",1
"citizen","believe",1
"citizen","bless",1
"citizen","build",1
"citizen","come",1
"citizen","country",1
"citizen","different",1
"citizen","enrich",1
"citizen","every",1
"citizen","find",1
"citizen","generation",1
"citizen","join",1
"citizen","know",1
"citizen","liberation",1
"citizen","march",1
"citizen","money",1
"citizen","nation",1
"citizen","pillar",1
"citizen","problem",1
"citizen","prosper",1
"citizen","provide",1
"citizen","purpose",1
"citizen","race",1
"citizen","spectator",1
"citizen","subject",1
"citizen","sustain",1
"citizen","uphold",1
"citizen","want",1
"citizen","work",1
"citizen","world",1
"citizenship","miss",1
"city","foreign",1
"city","have",1
"city","improve",1
"city","inner",1
"city","raise",1
"city","rust",1
"city","small",1
"city","special",1
"civic","duty",1
"civil","right",1
"civil","society",1
"civility","civil",1
"civility","courage",1
"civility","decency",1
"civility","serve",1
"civility","tactic",1
"civilize","world",1
"claim","young",1
"clarify","choice",1
"class","rip",1
"clean","environment",1
"clear","lunar",1
"clear","success",1
"clear","time",1
"clergy","distinguish",1
"clergy","member",1
"clerk","cabbie",1
"close","achievement",1
"close","fill",1
"close","push",1
"coal","miner",1
"coincidence","present",1
"cold","brother",1
"cold","stand",1
"collect","tariff",1
"colony","edge",1
"color","creed",1
"colorblind","merit",1
"column","understand",1
"come","asleep",1
"come","attack",1
"come","capital",1
"come","close",1
"come","common",1
"come","day",1
"come","end",1
"come","family",1
"come","foreign",1
"come","freedom",1
"come","greatness",1
"come","heal",1
"come","ideal",1
"come","know",1
"come","love",1
"come","many",1
"come","mind",1
"come","narrow",1
"come","new",1
"come","renew",1
"come","say",1
"come","several",1
"come","simple",1
"come","single",1
"come","ten",1
"come","today",1
"come","wish",1
"comeback","see",1
"comfort","defend",1
"command","let",1
"commit","drive",1
"commit","have",1
"commitment","consecrate",1
"commitment","keep",1
"commitment","live",1
"commitment","own",1
"commitment","principle",1
"commitment","set",1
"commitment","unite",1
"common","cause",1
"common","country",1
"common","danger",1
"common","school",1
"commonplace","occurrence",1
"communication","open",1
"communism","come",1
"communism","triumph",1
"community","affect",1
"community","ask",1
"community","chaos",1
"community","commitment",1
"community","day",1
"community","humanity",1
"community","livable",1
"community","offer",1
"community","service",1
"community","standard",1
"community","want",1
"company","destroy",1
"compassion","call",1
"compassion","character",1
"compassion","courage",1
"compassion","part",1
"compassion","suffer",1
"compassion","way",1
"compassion","work",1
"competence","effectiveness",1
"competency","loyalty",1
"competition","conquer",1
"complain","do",1
"complete","confidence",1
"complete","disrepair",1
"complete","restoration",1
"complex","manage",1
"concentrate","work",1
"concern","civility",1
"concern","commit",1
"concern","have",1
"concern","special",1
"concern","thank",1
"concerted","effort",1
"concession","dictator",1
"condescend","policy",1
"conduct","great",1
"conduct","same",1
"conduct","spirit",1
"confidence","country",1
"confidence","eventual",1
"confidence","freedom",1
"confidence","government",1
"confidence","pride",1
"confidence","tradition",1
"confidence","will",1
"confident","hope",1
"confident","judgment",1
"confident","optimistic",1
"confident","principle",1
"conflict","home",1
"conflict","misjudge",1
"conflict","own",1
"confro","hardship",1
"confro","weapon",1
"confront","answer",1
"confront","crisis",1
"confront","economic",1
"confront","problem",1
"confrontation","enter",1
"confrontation","great",1
"conquer","intimidate",1
"conquer","new",1
"conquer","poverty",1
"conquer","territory",1
"conscience","generation",1
"conscience","know",1
"conscience","own",1
"conscience","way",1
"consecrate","energy",1
"consent","govern",1
"consequence","attempt",1
"consequential","election",1
"consequential","time",1
"consider","choose",1
"consider","grow",1
"considerable","use",1
"consistent","orderly",1
"constitution","forget",1
"constitution","help",1
"constitution","recall",1
"constitution","take",1
"constitutional","rule",1
"contemplate","own",1
"contest","conduct",1
"continent","country",1
"continent","mighty",1
"continuation","begin",1
"continue","bring",1
"continue","catalogue",1
"continue","end",1
"continue","era",1
"continue","growth",1
"continue","hold",1
"continue","journey",1
"continue","long",1
"continue","revitalize",1
"continue","story",1
"continuity","bulwark",1
"control","need",1
"control","people",1
"convenience","present",1
"converge","make",1
"conviction","civility",1
"conviction","nation",1
"cooperate","reduce",1
"cooperation","transition",1
"core","human",1
"core","system",1
"corner","pledge",1
"corner","world",1
"corrupt","establishment",1
"cosmos","destiny",1
"cost","flourish",1
"cost","national",1
"cost","price",1
"cost","size",1
"counsel","depend",1
"counter","side",1
"country","abandon",1
"country","accept",1
"country","allow",1
"country","ashamed",1
"country","bring",1
"country","character",1
"country","danger",1
"country","death",1
"country","deep",1
"country","deliver",1
"country","dissipate",1
"country","earth",1
"country","enrich",1
"country","flourish",1
"country","forge",1
"country","generous",1
"country","grateful",1
"country","have",1
"country","know",1
"country","lead",1
"country","man",1
"country","many",1
"country","mean",1
"country","much",1
"country","order",1
"country","rediscover",1
"country","restore",1
"country","share",1
"country","simple",1
"country","sit",1
"country","sunlight",1
"country","tariff",1
"country","threat",1
"country","thrive",1
"country","victory",1
"countryman","love",1
"countryman","uphold",1
"courage","clear",1
"courage","compassion",1
"courage","exceptionalism",1
"courage","free",1
"courage","goodness",1
"courage","have",1
"courage","love",1
"courage","simple",1
"courage","speak",1
"courage","strength",1
"courage","time",1
"courage","triumph",1
"courage","vigor",1
"course","set",1
"course","world",1
"covid","vaccine",1
"cowboy","factory",1
"create","century",1
"create","create",1
"create","equal",1
"create","federal",1
"create","government",1
"create","new",1
"create","strive",1
"create","world",1
"creative","energy",1
"creativity","progress",1
"credit","cause",1
"creed","american",1
"creed","country",1
"creed","ethnic",1
"crime","gang",1
"crime","soil",1
"criminal","alien",1
"criminal","many",1
"criminal","network",1
"crisis","cause",1
"crisis","dignity",1
"crisis","face",1
"crisis","government",1
"crisis","home",1
"crisis","spirit",1
"crisis","today",1
"crisis","trust",1
"cross","defend",1
"cross","desert",1
"cross","political",1
"cross","star",1
"crucial","conviction",1
"crush","struggle",1
"cry","help",1
"cultural","political",1
"culture","art",1
"culture","ultimate",1
"cup","despair",1
"curb","size",1
"curse","remain",1
"custom","tradition",1
"custom","yes",1
"cut","much",1
"cynicism","community",1
"danger","confrontation",1
"danger","define",1
"danger","despair",1
"danger","fellow",1
"danger","sustain",1
"danger","win",1
"dangerous","criminal",1
"dangerous","necessary",1
"dare","decent",1
"dare","think",1
"dark","ally",1
"dark","corner",1
"dark","let",1
"dark","place",1
"darken","hall",1
"darkness","warm",1
"dawn","civilization",1
"dawn","let",1
"dawn","new",1
"day","4",1
"day","add",1
"day","administration",1
"day","assume",1
"day","call",1
"day","celebration",1
"day","country",1
"day","dedication",1
"day","few",1
"day","fire",1
"day","found",1
"day","free",1
"day","future",1
"day","give",1
"day","grateful",1
"day","include",1
"day","journey",1
"day","know",1
"day","let",1
"day","make",1
"day","new",1
"day","nuclear",1
"day","people",1
"day","prayer",1
"day","prescribe",1
"day","propose",1
"day","trump",1
"day","untamed",1
"day","wealth",1
"day","week",1
"day","year",1
"deal","forgiveness",1
"deal","revoke",1
"deal","spirit",1
"death","honor",1
"debate","appear",1
"debate","difference",1
"debate","disagreement",1
"debt","submit",1
"decade","century",1
"decade","define",1
"decade","enrich",1
"decade","live",1
"decade","pile",1
"decency","give",1
"decency","love",1
"decent","believe",1
"decent","fair",1
"decent","order",1
"decent","tolerant",1
"decent","treatment",1
"decide","important",1
"decide","much",1
"decision","ask",1
"decision","penalize",1
"decision","right",1
"decision","trade",1
"declaration","die",1
"declaration","read",1
"declaration","sign",1
"declare","day",1
"declare","new",1
"decline","believe",1
"decline","vulnerable",1
"decree","hear",1
"dedicate","dream",1
"dedication","issue",1
"deed","believe",1
"deep","aspiration",1
"deep","belief",1
"deep","commitment",1
"deep","concern",1
"deep","fulfillment",1
"deep","noble",1
"deep","persistent",1
"deep","respond",1
"deep","seem",1
"deep","source",1
"defeat","common",1
"defeat","enemy",1
"defeat","fascism",1
"defeat","record",1
"defeat","spirit",1
"defeat","today",1
"defend","ally",1
"defend","american",1
"defend","border",1
"defend","citizen",1
"defend","conquer",1
"defend","country",1
"defend","friend",1
"defend","need",1
"defend","other",1
"defend","peace",1
"defense","capability",1
"defense","challenge",1
"defense","economy",1
"defense","foreign",1
"deficit","deficit",1
"deficit","mortgage",1
"deficit","spend",1
"define","american",1
"define","common",1
"define","swift",1
"define","word",1
"definition","liberty",1
"degree","other",1
"delay","follow",1
"deliver","angry",1
"deliver","basic",1
"deliver","lead",1
"deliver","time",1
"demand","bloat",1
"demand","good",1
"demand","recognition",1
"demand","righteous",1
"demilitarize","arsenal",1
"democracy","do",1
"democracy","freedom",1
"democracy","prelude",1
"democracy","rock",1
"democracy","see",1
"democracy","stand",1
"democracy","world",1
"democratic","faith",1
"democratic","movement",1
"democratic","reformer",1
"deny","fair",1
"deny","freedom",1
"department","government",1
"depend","alone",1
"depend","fortune",1
"depend","help",1
"depend","success",1
"dependency","upgrade",1
"depletion","military",1
"depress","prospect",1
"depression","grip",1
"depression","war",1
"deprive","knowledge",1
"desert","scale",1
"deserve","chance",1
"deserve","rule",1
"deserve","slave",1
"deserve","trust",1
"designate","cartel",1
"desire","spend",1
"despair","chalice",1
"despair","depend",1
"despair","hear",1
"destiny","deny",1
"destiny","earth",1
"destiny","few",1
"destiny","give",1
"destiny","lie",1
"destiny","offer",1
"destiny","part",1
"destiny","star",1
"destroy","job",1
"destroy","nuclear",1
"destroy","one",1
"destroy","weapon",1
"destruction","new",1
"destruction","resort",1
"destruction","war",1
"destructive","conflict",1
"destructive","power",1
"deter","end",1
"determination","courage",1
"determination","inalienable",1
"determination","meet",1
"determine","action",1
"determine","choice",1
"determine","course",1
"determine","face",1
"determine","fulfill",1
"determine","future",1
"determine","own",1
"determine","show",1
"devastate","crime",1
"develop","new",1
"devotion","country",1
"didn","give",1
"die","die",1
"die","same",1
"die","wave",1
"difference","civility",1
"difference","old",1
"difference","run",1
"difference","system",1
"different","own",1
"different","race",1
"different","reality",1
"different","system",1
"difficult","fulfill",1
"difficult","war",1
"difficult","year",1
"difficulty","danger",1
"difficulty","task",1
"dignify","column",1
"dignity","abundant",1
"dignity","bear",1
"dignity","cherish",1
"dignity","freedom",1
"dignity","guide",1
"dignity","individual",1
"dignity","infirm",1
"dignity","life",1
